zu ,tot_young_pop_zu,totale,per_young_tot_pop
01A,2830.0,25077.0,11.29
01B,1432.0,14204.0,10.08
01C,928.0,8276.0,11.21
01D,790.0,7953.0,9.93
01E,3408.0,34337.0,9.93
01F,891.0,9074.0,9.82
01G,381.0,3919.0,9.72
01X,54.0,741.0,7.29
17A,1717.0,17771.0,9.66
17B,2576.0,25827.0,9.97
17C,1843.0,19575.0,9.42
02A,234.0,2820.0,8.30
02B,2467.0,21954.0,11.24
02C,1255.0,13057.0,9.61
02D,2834.0,25605.0,11.07
02E,5865.0,53235.0,11.02
02X,62.0,636.0,9.75
02Y,112.0,908.0,12.33
03A,4562.0,39077.0,11.67
03B,984.0,8934.0,11.01
03X,158.0,999.0,15.82
03Y,20.0,226.0,8.85
04A,1701.0,16672.0,10.20
04B,3326.0,36565.0,9.10
04C,3509.0,33907.0,10.35
04D,1422.0,12035.0,11.82
04E,3417.0,31859.0,10.73
04F,1491.0,13941.0,10.70
04G,1913.0,19191.0,9.97
04H,1108.0,10325.0,10.73
04I,1606.0,14577.0,11.02
04L,215.0,1982.0,10.85
04M,559.0,5230.0,10.69
04N,882.0,7616.0,11.58
04O,111.0,883.0,12.57
05A,1774.0,16037.0,11.06
05B,2187.0,21054.0,10.39
05C,2201.0,20012.0,11.00
05D,2622.0,23109.0,11.35
05E,3393.0,25622.0,13.24
05F,368.0,2860.0,12.87
05G,1495.0,13852.0,10.79
05H,3135.0,26890.0,11.66
05I,1445.0,10741.0,13.45
05L,1529.0,12854.0,11.90
06A,5237.0,47817.0,10.95
06B,1148.0,10679.0,10.75
06C,2346.0,21044.0,11.15
06D,4599.0,41759.0,11.01
07A,6389.0,55526.0,11.51
07B,3229.0,27643.0,11.68
07C,1498.0,12673.0,11.82
07D,1339.0,10233.0,13.09
07E,1280.0,11042.0,11.59
07F,116.0,917.0,12.65
07G,157.0,1197.0,13.12
07H,208.0,1988.0,10.46
08A,1579.0,13592.0,11.62
08B,2533.0,20023.0,12.65
08C,2580.0,20289.0,12.72
08D,755.0,7236.0,10.43
08E,4107.0,36897.0,11.13
08F,11333.0,88910.0,12.75
08G,7241.0,52684.0,13.74
08H,1564.0,14157.0,11.05
09A,2223.0,21836.0,10.18
09B,4983.0,47963.0,10.39
09C,279.0,2323.0,12.01
09D,2873.0,27575.0,10.42
09E,2410.0,22682.0,10.63
10A,5525.0,52125.0,10.60
10B,3239.0,29625.0,10.93
10C,1104.0,10891.0,10.14
10D,779.0,6727.0,11.58
10E,567.0,5328.0,10.64
10F,2236.0,19357.0,11.55
10G,955.0,7425.0,12.86
10H,867.0,7157.0,12.11
10I,1188.0,11271.0,10.54
10L,3805.0,32426.0,11.73
10X,104.0,567.0,18.34
11A,814.0,7822.0,10.41
11B,827.0,7611.0,10.87
11C,4505.0,44269.0,10.18
11D,534.0,5320.0,10.04
11E,3379.0,33013.0,10.24
11F,1329.0,11990.0,11.08
11G,1610.0,15951.0,10.09
11X,340.0,2668.0,12.74
11Y,95.0,747.0,12.72
12A,1111.0,9420.0,11.79
12B,1063.0,10020.0,10.61
12C,4902.0,40953.0,11.97
12D,2564.0,24332.0,10.54
12E,1664.0,14517.0,11.46
12F,1385.0,14143.0,9.79
12G,2915.0,24546.0,11.88
12H,3749.0,29853.0,12.56
12I,1056.0,8458.0,12.49
12L,399.0,3368.0,11.85
12M,39.0,287.0,13.59
12N,185.0,1456.0,12.71
12X,1.0,15.0,6.67
13A,1616.0,17226.0,9.38
13B,3525.0,28322.0,12.45
13C,3169.0,26134.0,12.13
13D,3295.0,27386.0,12.03
13E,2066.0,17463.0,11.83
13F,4824.0,44108.0,10.94
13G,4039.0,36862.0,10.96
13H,178.0,1520.0,11.71
13I,3536.0,29945.0,11.81
13X,24.0,144.0,16.67
15A,3649.0,34843.0,10.47
15B,2891.0,29330.0,9.86
15C,2698.0,25303.0,10.66
15D,3578.0,30263.0,11.82
15E,588.0,5365.0,10.96
15F,1719.0,16334.0,10.52
15G,1518.0,12927.0,11.74
16A,3684.0,35910.0,10.26
16B,3206.0,31015.0,10.34
16C,566.0,4483.0,12.63
16D,5453.0,54056.0,10.09
16E,1118.0,9115.0,12.27
16F,687.0,5743.0,11.96
16X,3.0,193.0,1.55
18A,2426.0,24878.0,9.75
18B,3371.0,33634.0,10.02
18C,3703.0,30293.0,12.22
18D,1791.0,18218.0,9.83
18E,2207.0,17715.0,12.46
18F,929.0,7823.0,11.88
19A,4308.0,39881.0,10.80
19B,6393.0,57376.0,11.14
19C,1771.0,15521.0,11.41
19D,3151.0,25353.0,12.43
19E,1941.0,16960.0,11.44
19F,165.0,1879.0,8.78
19G,3515.0,29715.0,11.83
19H,479.0,3818.0,12.55
20A,1460.0,13014.0,11.22
20B,1174.0,9876.0,11.89
20C,3784.0,32878.0,11.51
20D,2225.0,19558.0,11.38
20E,329.0,2716.0,12.11
20F,170.0,1275.0,13.33
20G,1198.0,11189.0,10.71
20H,2542.0,20698.0,12.28
20I,1130.0,9354.0,12.08
20L,452.0,3744.0,12.07
20M,2733.0,22293.0,12.26
20N,1524.0,11519.0,13.23
20O,6.0,48.0,12.50
20X,63.0,676.0,9.32
