CodeZU,Servizi,Superficie(Km^2),Densita_servizi
01A,755,320,2.36
01B,238,181,1.31
01C,62,155,0.40
01D,70,65,1.08
01E,4829,308,15.68
01F,298,141,2.11
01G,65,67,0.97
01X,10,193,0.05
02A,21,115,0.18
02B,99,208,0.48
02C,82,138,0.59
02D,149,193,0.77
02E,217,290,0.75
02X,47,138,0.34
02Y,14,286,0.05
03A,208,291,0.71
03B,111,50,2.22
03X,34,99,0.34
03Y,5,150,0.03
04A,48,167,0.29
04B,61,319,0.19
04C,114,248,0.46
04D,28,111,0.25
04E,77,564,0.14
04F,67,607,0.11
04G,78,124,0.63
04H,39,46,0.85
04I,41,87,0.47
04L,14,445,0.03
04M,46,481,0.10
04N,12,1397,0.01
04O,7,5185,0.00
05A,88,134,0.66
05B,65,255,0.25
05C,70,355,0.20
05D,78,283,0.28
05E,95,620,0.15
05F,12,363,0.03
05G,76,225,0.34
05H,127,497,0.26
05I,20,1143,0.02
05L,55,1039,0.05
06A,258,235,1.10
06B,56,209,0.27
06C,96,158,0.61
06D,93,189,0.49
07A,214,300,0.71
07B,85,309,0.28
07C,57,210,0.27
07D,29,175,0.17
07E,16,125,0.13
07F,8,324,0.02
07G,10,188,0.05
07H,13,276,0.05
08A,24,170,0.14
08B,73,268,0.27
08C,75,880,0.09
08D,15,1124,0.01
08E,62,1252,0.05
08F,158,1649,0.10
08G,78,2356,0.03
08H,26,3638,0.01
09A,121,107,1.13
09B,243,316,0.77
09C,9,91,0.10
09D,133,134,0.99
09E,111,159,0.70
10A,182,238,0.76
10B,110,357,0.31
10C,29,515,0.06
10D,17,112,0.15
10E,54,187,0.29
10F,32,235,0.14
10G,26,221,0.12
10H,28,283,0.10
10I,44,514,0.09
10L,72,894,0.08
10X,20,313,0.06
11A,97,108,0.90
11B,36,158,0.23
11C,235,301,0.78
11D,18,78,0.23
11E,88,479,0.18
11F,48,197,0.24
11G,23,298,0.08
11X,26,2047,0.01
11Y,4,1064,0.00
12A,11,567,0.02
12B,0,142,0.00
12C,10,760,0.01
12D,5,489,0.01
12E,4,1160,0.00
12F,4,530,0.01
12G,3,443,0.01
12H,6,3901,0.00
12I,3,5169,0.00
12L,1,3223,0.00
12M,1,1125,0.00
12N,0,521,0.00
12X,0,287,0.00
13A,51,630,0.08
13B,70,916,0.08
13C,87,710,0.12
13D,94,1029,0.09
13E,65,2251,0.03
13F,248,568,0.44
13G,263,445,0.59
13H,82,1221,0.07
13I,100,1147,0.09
13X,18,6147,0.00
15A,140,126,1.11
15B,86,232,0.37
15C,57,177,0.32
15D,106,667,0.16
15E,55,1150,0.05
15F,37,461,0.08
15G,43,4275,0.01
16A,158,373,0.42
16B,106,676,0.16
16C,20,784,0.03
16D,253,290,0.87
16E,14,140,0.10
16F,47,4841,0.01
16X,11,209,0.05
17A,293,170,1.72
17B,150,311,0.48
17C,120,81,1.48
18A,79,313,0.25
18B,85,734,0.12
18C,48,504,0.10
18D,52,161,0.32
18E,37,339,0.11
18F,31,4816,0.01
19A,105,450,0.23
19B,153,390,0.39
19C,48,532,0.09
19D,42,962,0.04
19E,16,334,0.05
19F,12,138,0.09
19G,57,5631,0.01
19H,5,4692,0.00
20A,28,392,0.07
20B,2,136,0.01
20C,46,479,0.10
20D,48,239,0.20
20E,22,1083,0.02
20F,12,287,0.04
20G,24,927,0.03
20H,33,2049,0.02
20I,13,3426,0.00
20L,26,3093,0.01
20M,49,1164,0.04
20N,41,4122,0.01
20O,1,1081,0.00
20X,30,193,0.16
